datetime,co,no2,o3,pm10,pm25,so2
2023-03-31 23:00:00+00:00,1.1,38.4,47.5,15.6,6.1,8.9
2023-04-01 00:00:00+00:00,1.1,32.5,53.4,15.8,6.5,8.9
2023-04-01 02:00:00+00:00,1.0,4.0,88.7,6.8,3.2,8.6
2023-04-01 05:00:00+00:00,1.0,1.4,88.4,6.6,3.8,7.9
2023-04-01 07:00:00+00:00,1.0,9.7,,12.5,4.6,
2023-04-01 09:00:00+00:00,1.0,39.1,,14.0,7.9,10.5
2023-04-01 11:00:00+00:00,1.0,4.9,80.3,2.4,2.2,9.6
2023-04-01 12:00:00+00:00,1.0,8.8,82.5,3.5,3.2,10.5
2023-04-01 14:00:00+00:00,1.0,8.9,84.2,4.8,3.4,10.1
2023-04-01 15:00:00+00:00,1.0,17.3,69.3,5.8,3.0,10.6
2023-04-01 18:00:00+00:00,1.1,39.1,33.2,10.0,6.3,13.0
2023-04-01 19:00:00+00:00,1.1,43.1,32.1,10.2,5.7,14.1
2023-04-01 20:00:00+00:00,1.2,29.25,17.35,36.6,22.799999999999997,6.3
2023-04-01 21:00:00+00:00,1.6,39.300000000000004,7.9,56.3,38.5,8.1
2023-04-02 18:00:00+00:00,0.8,12.799999999999999,59.5,16.1,11.65,10.6
2023-04-02 20:00:00+00:00,0.75,19.85,47.900000000000006,14.2,10.85,9.8
2023-04-02 21:00:00+00:00,0.75,24.65,39.95,14.05,9.55,8.8
2023-04-02 23:00:00+00:00,0.7000000000000001,6.85,65.94999999999999,7.1,5.800000000000001,12.649999999999999
2023-04-03 02:00:00+00:00,0.7000000000000001,6.65,49.1,8.2,6.9,27.700000000000003
2023-04-03 03:00:00+00:00,0.7000000000000001,9.55,34.400000000000006,11.25,9.6,15.95
2023-04-03 05:00:00+00:00,0.7000000000000001,17.7,17.9,13.85,10.350000000000001,12.95
2023-04-03 06:00:00+00:00,1.2,44.1,9.3,18.7,13.5,15.3
2023-04-03 07:00:00+00:00,0.3,6.1,51.7,17.2,11.1,12.1
2023-04-03 10:00:00+00:00,0.3,8.0,45.150000000000006,16.3,13.350000000000001,10.350000000000001
2023-04-03 12:00:00+00:00,0.7000000000000001,7.4,35.3,10.45,7.85,10.350000000000001
2023-04-03 13:00:00+00:00,0.7000000000000001,8.55,35.5,11.850000000000001,8.9,9.85
2023-04-03 14:00:00+00:00,0.7000000000000001,9.3,35.45,13.8,11.45,9.0
2023-04-03 15:00:00+00:00,0.75,10.450000000000001,33.8,10.2,9.4,8.6
2023-04-03 16:00:00+00:00,0.3,4.2,34.5,9.9,9.3,6.1
2023-04-03 19:00:00+00:00,,,38.2,1.6,1.5,9.6
2023-04-03 20:00:00+00:00,1.1,12.8,,1.3,1.3,
2023-04-04 08:00:00+00:00,0.3,3.1,47.35,4.4,4.1,28.25
2023-04-04 09:00:00+00:00,0.7000000000000001,12.950000000000001,48.650000000000006,4.6,4.35,28.05
2023-04-04 11:00:00+00:00,0.3,2.1,61.8,9.2,8.4,16.2
2023-04-04 12:00:00+00:00,0.7000000000000001,12.8,55.35,7.25,6.800000000000001,13.2
2023-04-04 14:00:00+00:00,0.7000000000000001,17.15,50.4,11.5,10.95,13.8
2023-04-04 15:00:00+00:00,1.1,27.5,48.5,6.6,6.3,13.2
2023-04-05 12:00:00+00:00,0.3,3.7,71.6,10.3,9.6,7.6
2023-04-05 14:00:00+00:00,0.7000000000000001,12.649999999999999,58.7,12.9,11.2,7.45
2023-04-05 15:00:00+00:00,0.7000000000000001,16.05,52.650000000000006,14.95,12.75,7.05
2023-04-05 16:00:00+00:00,0.7000000000000001,15.25,53.7,15.2,13.149999999999999,6.3
2023-04-05 17:00:00+00:00,0.3,6.9,58.5,21.8,18.9,4.7
2023-04-05 18:00:00+00:00,1.2,20.0,58.1,11.6,10.4,6.2
2023-04-05 19:00:00+00:00,1.2,12.850000000000001,60.75,17.85,15.35,4.949999999999999
2023-04-05 20:00:00+00:00,0.75,15.65,57.8,19.85,16.85,4.55
2023-04-06 14:00:00+00:00,0.3,3.5,70.8,23.1,18.3,6.0
2023-04-06 15:00:00+00:00,1.1,28.8,49.4,13.4,9.5,9.0
2023-04-07 08:00:00+00:00,1.2,23.2,52.5,,,9.9
2023-04-07 09:00:00+00:00,0.75,10.15,63.15,33.5,19.1,8.6
2023-04-07 10:00:00+00:00,0.7000000000000001,10.1,62.9,25.849999999999998,15.6,14.0
2023-04-07 11:00:00+00:00,0.3,10.3,74.05000000000001,18.45,12.05,13.85
2023-04-07 21:00:00+00:00,0.5,12.9,32.4,55.1,42.1,7.3
2023-04-12 14:00:00+00:00,0.65,6.45,92.94999999999999,6.800000000000001,2.8,8.95
2023-04-13 14:00:00+00:00,1.2,10.4,84.2,17.1,5.1,10.2
2023-04-14 04:00:00+00:00,0.3,0.0,91.6,14.2,7.8,9.2
2023-04-14 05:00:00+00:00,0.3,,79.8,41.5,11.3,11.3
2023-04-14 11:00:00+00:00,0.8,2.8499999999999996,84.8,10.85,3.1500000000000004,7.0
2023-04-14 14:00:00+00:00,1.2,6.0,83.8,20.0,3.0,
2023-04-15 07:00:00+00:00,0.3,4.7,,8.4,4.4,
2023-04-20 11:00:00+00:00,0.85,19.0,59.25,14.450000000000001,10.25,9.7
2023-04-20 12:00:00+00:00,0.85,20.25,57.8,16.450000000000003,12.299999999999999,11.2
2023-04-21 06:00:00+00:00,0.4,7.6,26.3,53.4,42.0,7.9
2023-04-21 07:00:00+00:00,0.3,2.0,59.5,31.8,26.3,12.1
2023-04-21 12:00:00+00:00,0.85,3.35,85.6,14.200000000000001,10.350000000000001,11.75
2023-04-21 13:00:00+00:00,0.85,5.15,79.6,10.3,7.35,8.7
2023-04-24 11:00:00+00:00,1.4,3.9,96.1,11.4,6.1,10.1
2023-04-24 12:00:00+00:00,0.3,6.3,85.1,24.9,10.6,6.8
2023-04-24 13:00:00+00:00,0.85,14.1,74.95,19.25,8.7,7.5
